condition,layout,step,trigger,row_class,admitted,hyp_matches_actual,human_finished,degenerate,candidate,cand,is_current_task,robot_holding,cost,T_r,T_h,pool_size,s,g_status,g_delta,g_delta_frac,g_delta_partial,g_realized_cost,g_n_iter,g_n_segment_end_truncations,g_fail_segment,g_fail_phase,g_holds,g_n_holds,first_violation_t,first_violation_segment,first_violation_robot_phase,first_violation_human_phase,unassessed_before_ticks,unassessed_before_share,unassessed_after_ticks,unassessed_after_share,unassessed_widening_ticks,tail_min_d_before,tail_lead_before,g_tail_lead,g_held_end_status,g_held_end_delta,g_clears_via_tail,lit_status,lit_delta,lit_outlasts,lit_realized_cost,ex_status,ex_delta,ex_realized_cost,ex_holds,ex_fail_segment,ex_fail_phase,ex_tail_lead,ex_held_end_status,ex_held_end_delta,ex_clears_via_tail,wh_status,wh_delta,wh_realized_cost,wh_tail_lead,wh_held_end_status,wh_held_end_delta,wh_clears_via_tail,wh_shift_past_horizon
s00_off,env_layout0,0,no_current_task,counterfactual,False,True,False,False,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,False,,47,47.31089277272629,77.79760132533269,3,100,realized,0.0,0.0,0.0,47.31089277272629,0,0,,,,0,,,,,0.0,0.0,0.0,0.0,0.0,inf,,,realized,0.0,False,realized,0.0,False,47.31089277272629,realized,0.0,47.31089277272629,,,,,realized,0.0,False,realized,0.0,47.31089277272629,,realized,0.0,False,False
s00_off,env_layout0,0,no_current_task,counterfactual,False,True,False,False,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,False,,47,47.31089277272629,77.79760132533269,3,150,realized,0.0,0.0,0.0,47.31089277272629,0,0,,,,0,,,,,0.0,0.0,0.0,0.0,0.0,inf,,,realized,0.0,False,realized,0.0,False,47.31089277272629,realized,0.0,47.31089277272629,,,,,realized,0.0,False,realized,0.0,47.31089277272629,,realized,0.0,False,False
s00_off,env_layout0,0,no_current_task,counterfactual,False,True,False,False,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,False,,47,47.31089277272629,77.79760132533269,3,200,realized,0.0,0.0,0.0,47.31089277272629,0,0,,,,0,,,,,0.0,0.0,0.0,0.0,0.0,inf,,,realized,0.0,False,realized,0.0,False,47.31089277272629,realized,0.0,47.31089277272629,,,,,realized,0.0,False,realized,0.0,47.31089277272629,,realized,0.0,False,False
s00_off,env_layout0,0,no_current_task,counterfactual,False,True,False,False,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,False,,47,47.31089277272629,77.79760132533269,3,300,none:hold_position_violated,,,0.0,,1,0,2.0,carry_to_table,seg2:carry_to_table:14.10t@16.2[human:approach_shelf],1,22.730062674811524,2.0,carry_to_table,approach_shelf,0.0,0.0,,,,inf,,,none:hold_position_violated,,False,none:hold_position_violated,0.0,False,,none:no_feasible_start,,,,2.0,carry_to_table,,none:no_feasible_start,,False,none:no_feasible_shift,,,,none:no_feasible_shift,,False,
s00_off,env_layout0,0,no_current_task,counterfactual,False,True,False,False,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,False,,47,47.31089277272629,77.79760132533269,3,400,none:hold_position_violated,,,0.0,,1,0,2.0,carry_to_table,seg2:carry_to_table:17.96t@16.2[human:approach_shelf],1,18.870867829771274,2.0,carry_to_table,approach_shelf,0.0,0.0,,,,inf,,,none:hold_position_violated,,False,none:hold_position_violated,0.0,False,,none:no_feasible_start,,,,2.0,carry_to_table,,none:no_feasible_start,,False,none:no_feasible_shift,,,,none:no_feasible_shift,,False,
s00_off,env_layout0,0,no_current_task,counterfactual,False,True,False,False,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,False,,47,47.31089277272629,77.79760132533269,3,600,none:hold_position_violated,,,0.0,,1,1,0.0,approach_shelf,seg0:approach_shelf:15.21t@0.0[human:approach_shelf],1,6.798345336870776,0.0,approach_shelf,approach_shelf,0.0,0.0,,,,inf,,,none:hold_position_violated,,False,none:hold_position_violated,0.0,False,,none:no_feasible_start,,,,0.0,approach_shelf,,none:no_feasible_start,,False,none:no_feasible_shift,,,,none:no_feasible_shift,,False,
s00_off,env_layout0,0,no_current_task,counterfactual,False,True,False,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,False,,31,31.175122773890983,77.79760132533269,3,5,realized,0.0,0.0,0.0,31.175122773890983,0,0,,,,0,,,,,0.0,0.0,0.0,0.0,0.0,inf,,,realized,0.0,False,realized,0.0,False,31.175122773890983,realized,0.0,31.175122773890983,,,,,realized,0.0,False,realized,0.0,31.175122773890983,,realized,0.0,False,False
s00_off,env_layout0,0,no_current_task,counterfactual,False,True,False,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,False,,31,31.175122773890983,77.79760132533269,3,10,realized,0.0,0.0,0.0,31.175122773890983,0,0,,,,0,,,,,0.0,0.0,0.0,0.0,0.0,inf,,,realized,0.0,False,realized,0.0,False,31.175122773890983,realized,0.0,31.175122773890983,,,,,realized,0.0,False,realized,0.0,31.175122773890983,,realized,0.0,False,False
s00_off,env_layout0,0,no_current_task,counterfactual,False,True,False,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,False,,31,31.175122773890983,77.79760132533269,3,20,realized,0.0,0.0,0.0,31.175122773890983,0,0,,,,0,,,,,0.0,0.0,0.0,0.0,0.0,inf,,,realized,0.0,False,realized,0.0,False,31.175122773890983,realized,0.0,31.175122773890983,,,,,realized,0.0,False,realized,0.0,31.175122773890983,,realized,0.0,False,False
s00_off,env_layout0,0,no_current_task,counterfactual,False,True,False,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,False,,31,31.175122773890983,77.79760132533269,3,30,realized,0.0,0.0,0.0,31.175122773890983,0,0,,,,0,,,,,0.0,0.0,0.0,0.0,0.0,inf,,,realized,0.0,False,realized,0.0,False,31.175122773890983,realized,0.0,31.175122773890983,,,,,realized,0.0,False,realized,0.0,31.175122773890983,,realized,0.0,False,False
